375,TCS,2018-01-10,2711.0000,2816.0000,2694.6500,2806.6000
416,BAJFINANCE,2018-01-10,1820.0000,1820.9500,1794.0000,1802.2000
551,INFY,2018-01-10,1046.8000,1056.0000,1033.0500,1052.2500
701,MARUTI,2018-01-10,9387.8000,9454.8500,9315.9000,9375.8500
926,INDUSINDBK,2018-01-10,1724.9500,1742.5500,1711.1500,1734.1000
950,SAMMAANCAP,2018-01-10,1222.0000,1222.7000,1195.0000,1204.2000
1118,KOTAKBANK,2018-01-10,1007.6000,1009.4500,1000.1000,1002.2500
3503,TMPV,2018-01-10,438.0000,439.3000,431.3000,433.3000
3603,AXISBANK,2018-01-10,566.1500,566.7000,560.4500,562.8000
3633,ICICIBANK,2018-01-10,312.5500,312.9500,310.5500,312.0000
3641,SBIN,2018-01-10,304.6500,305.8500,300.0000,301.1000
2,RELIANCE,2018-01-11,941.8000,942.6500,935.0000,937.7500
166,LT,2018-01-11,1320.2000,1326.8000,1313.0500,1323.5500
257,HDFC,2018-01-11,1729.9000,1745.0000,1724.4000,1741.3500
326,TATASTEEL,2018-01-11,772.8500,777.9000,768.3500,770.9500
375,TCS,2018-01-11,2810.0000,2821.9000,2782.2000,2790.5000
416,BAJFINANCE,2018-01-11,1798.0000,1798.0000,1773.0500,1780.3500
551,INFY,2018-01-11,1055.2500,1083.4000,1055.2500,1075.8000
701,MARUTI,2018-01-11,9410.0000,9430.0000,9326.0000,9339.8000
926,INDUSINDBK,2018-01-11,1740.0000,1752.0000,1685.0000,1700.3000
950,SAMMAANCAP,2018-01-11,1204.4000,1241.0000,1201.4000,1228.6500
1118,KOTAKBANK,2018-01-11,1003.7000,1021.0000,1001.0500,1017.6500
3503,TMPV,2018-01-11,433.5000,437.6000,432.9000,434.7500
3603,AXISBANK,2018-01-11,562.0000,563.1500,553.5500,558.7500
3633,ICICIBANK,2018-01-11,312.5000,312.5000,308.5500,309.5000
3641,SBIN,2018-01-11,300.9000,303.0000,300.0000,302.2000
2,RELIANCE,2018-01-12,943.0000,952.8000,938.2500,949.0000
166,LT,2018-01-12,1325.5000,1332.3000,1309.7500,1329.1500
257,HDFC,2018-01-12,1744.0000,1764.9500,1740.6000,1760.9500
326,TATASTEEL,2018-01-12,771.2000,776.8000,760.0500,770.2500
375,TCS,2018-01-12,2805.0000,2805.0000,2740.5500,2776.3500
416,BAJFINANCE,2018-01-12,1783.0000,1790.9000,1751.1500,1770.1000
551,INFY,2018-01-12,1085.8000,1085.9000,1070.5500,1078.4500
701,MARUTI,2018-01-12,9387.0000,9494.7500,9355.1000,9459.1500
926,INDUSINDBK,2018-01-12,1710.0000,1720.4500,1688.0000,1705.2500
950,SAMMAANCAP,2018-01-12,1233.7500,1245.0000,1194.0000,1224.6000
1118,KOTAKBANK,2018-01-12,1022.5000,1025.9000,1016.1000,1023.3500
3503,TMPV,2018-01-12,437.0000,441.4500,432.1000,437.1000
3603,AXISBANK,2018-01-12,560.2000,563.4000,552.5000,555.1000
3633,ICICIBANK,2018-01-12,309.6000,318.8000,309.6000,317.7000
3641,SBIN,2018-01-12,304.6500,304.6500,300.5500,302.2500
2,RELIANCE,2018-01-15,950.0000,958.5000,945.2000,949.1500
166,LT,2018-01-15,1334.8500,1351.2000,1323.6000,1325.9500
257,HDFC,2018-01-15,1790.0000,1886.8000,1778.0500,1871.2000
326,TATASTEEL,2018-01-15,772.0000,793.0000,771.0000,783.5000
375,TCS,2018-01-15,2777.1500,2808.0000,2735.0500,2746.1000
416,BAJFINANCE,2018-01-15,1771.0000,1794.9000,1733.0000,1738.1500
551,INFY,2018-01-15,1080.0000,1092.9500,1065.1000,1081.1500
701,MARUTI,2018-01-15,9499.9500,9508.5500,9340.0000,9358.4500
926,INDUSINDBK,2018-01-15,1707.1000,1710.3000,1675.0000,1682.4000
950,SAMMAANCAP,2018-01-15,1228.0000,1252.0000,1220.1000,1225.1500
1118,KOTAKBANK,2018-01-15,1025.0000,1041.4000,1020.3500,1038.3500
3503,TMPV,2018-01-15,438.0500,440.0500,431.0500,432.3500
3603,AXISBANK,2018-01-15,556.7000,564.4500,556.4000,560.5500
3633,ICICIBANK,2018-01-15,320.8000,330.7000,320.2500,329.3000
3641,SBIN,2018-01-15,303.9500,305.2500,301.5500,302.6000
2,RELIANCE,2018-01-16,947.7000,947.7000,920.0000,922.9500
166,LT,2018-01-16,1331.0500,1339.6500,1323.3500,1326.2000
257,HDFC,2018-01-16,1870.0000,1870.0000,1835.7500,1845.9500
326,TATASTEEL,2018-01-16,782.7500,782.7500,760.1000,765.7500
375,TCS,2018-01-16,2756.0000,2861.6500,2750.5500,2850.8500
416,BAJFINANCE,2018-01-16,1745.8000,1745.8000,1684.6000,1687.3500
551,INFY,2018-01-16,1081.2500,1134.8000,1081.2500,1122.8500
701,MARUTI,2018-01-16,9371.0000,9408.6500,9300.0000,9322.0500
926,INDUSINDBK,2018-01-16,1691.7500,1692.0000,1660.0000,1664.6000
950,SAMMAANCAP,2018-01-16,1224.0000,1235.9000,1197.8000,1204.9000
1118,KOTAKBANK,2018-01-16,1043.5500,1044.0000,1027.5000,1033.2500
3503,TMPV,2018-01-16,433.0000,435.2000,419.5000,421.9000
3603,AXISBANK,2018-01-16,562.9500,566.9000,555.8000,563.2000
3633,ICICIBANK,2018-01-16,329.7500,340.7500,326.5500,334.1000
3641,SBIN,2018-01-16,302.4000,303.3500,295.3000,296.1500
2,RELIANCE,2018-01-17,926.0000,929.0000,907.0000,924.5000
166,LT,2018-01-17,1323.0000,1357.0000,1320.2500,1353.3500
257,HDFC,2018-01-17,1841.0000,1869.0000,1841.0000,1858.3500
326,TATASTEEL,2018-01-17,768.0000,777.9500,757.0000,774.0000
375,TCS,2018-01-17,2870.0000,2925.0000,2862.1500,2888.9500
416,BAJFINANCE,2018-01-17,1695.1000,1709.8500,1665.7000,1701.2000
551,INFY,2018-01-17,1124.8500,1161.8000,1123.0000,1152.1000
701,MARUTI,2018-01-17,9316.0000,9368.8000,9256.0000,9313.9000
926,INDUSINDBK,2018-01-17,1664.1000,1678.7500,1645.4000,1657.4500
950,SAMMAANCAP,2018-01-17,1200.4500,1214.0000,1187.6500,1209.3500
1118,KOTAKBANK,2018-01-17,1028.0500,1034.1500,1021.8000,1027.1000
3503,TMPV,2018-01-17,422.0500,424.5000,410.1000,422.9500
3603,AXISBANK,2018-01-17,564.0500,589.3000,561.0000,585.2000
3633,ICICIBANK,2018-01-17,334.0500,344.2000,334.0500,343.2500
3641,SBIN,2018-01-17,296.0000,308.4000,292.6000,307.1000
2,RELIANCE,2018-01-18,929.0000,929.6000,915.1000,919.7000
166,LT,2018-01-18,1360.0000,1385.0000,1350.4500,1360.8000
257,HDFC,2018-01-18,1875.4500,1918.6500,1865.6000,1896.8000
326,TATASTEEL,2018-01-18,775.0000,779.8500,746.2000,751.7500
375,TCS,2018-01-18,2897.0000,2933.0000,2868.0500,2918.2000
416,BAJFINANCE,2018-01-18,1712.0000,1717.2500,1654.0000,1660.7000
551,INFY,2018-01-18,1145.0000,1164.9000,1132.1000,1152.7000
701,MARUTI,2018-01-18,9350.0000,9518.9000,9332.0000,9368.7000
926,INDUSINDBK,2018-01-18,1679.0000,1707.0000,1667.0000,1680.1000
950,SAMMAANCAP,2018-01-18,1222.0000,1264.5000,1212.1000,1243.7000
1118,KOTAKBANK,2018-01-18,1033.0000,1050.8000,1031.4000,1046.5000
3503,TMPV,2018-01-18,424.0000,428.3000,414.4500,418.9500
3603,AXISBANK,2018-01-18,596.0000,597.1500,578.6000,584.8000
3633,ICICIBANK,2018-01-18,350.0000,353.2000,343.0000,346.1500
3641,SBIN,2018-01-18,315.0000,317.8000,300.5000,303.2500
2,RELIANCE,2018-01-19,923.0000,934.4000,922.1000,931.3000
166,LT,2018-01-19,1362.0000,1378.6500,1353.5000,1371.4500
257,HDFC,2018-01-19,1897.0000,1912.8000,1894.3500,1901.2500
326,TATASTEEL,2018-01-19,752.5000,762.0000,742.5000,753.0000
