TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-28,2026-08-28,CM,NSE,STK,6018,INE404A01024,ABSLAMC,EQ,,,,,ADIT BIRL SUN LIF AMC LTD,1050.00,1053.50,1038.10,1047.90,1050.30,1046.50,,1047.88,,,74281,77833642.00,8950,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,21614,INE674K01013,ABCAPITAL,EQ,,,,,ADITYA BIRLA CAPITAL LTD.,409.85,410.35,404.80,405.55,405.55,410.00,,405.55,,,1217070,495534681.70,25871,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,30108,INE647O01011,ABFRL,EQ,,,,,ADITYA BIRLA FASHION & RT,54.00,54.00,52.21,52.49,52.59,53.64,,52.49,,,4611357,244508084.86,18625,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,756843,INE14LE01019,ABLBL,EQ,,,,,ADITYA BIRLA LIFES BRAN L,85.15,85.64,84.40,84.60,84.50,85.22,,84.60,,,252167,21416563.37,4409,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,15239,INE865C01022,BIRLAMONEY,EQ,,,,,ADITYA BIRLA MONEY LTD,131.77,131.77,128.45,129.94,130.75,129.89,,129.92,,,24071,3126106.41,544,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,625,INE055A01016,ABREL,EQ,,,,,ADITYA BIRLA REAL EST LTD,1382.00,1406.20,1380.00,1387.00,1387.40,1393.40,,1387.04,,,81323,113050768.40,7073,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,758858,INE819V01029,CPPLUS,EQ,,,,,ADITYA INFOTECH LIMITED,3630.00,3662.00,3552.00,3576.60,3570.90,3629.70,,3576.61,,,138494,498098405.80,15638,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,25984,INE679V01027,AVL,EQ,,,,,ADITYA VISION LIMITED,590.00,595.85,582.25,590.80,591.00,592.30,,590.80,,,220999,130310357.20,18716,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,23804,INF209KB18D3,BSLGOLDETF,EQ,,,,,ADITYBIRLA SL GOLD ETF-GR,138.75,140.01,137.57,139.62,139.58,138.75,,139.62,,,222269,30891626.86,1978,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,24781,INF209KB19D1,BSLNIFTY,EQ,,,,,ADITYBIRLA SL NIF ETF-GR,28.79,28.79,28.10,28.38,28.43,28.40,,28.38,,,832664,23625510.57,3166,F1,1,,,,,
